participant,TRL  ,WhichEye,Afirst,TrainingTask,AcuityCondition,ContrastCondition,crowdingCondition,ContourCondition,ScotomaPresent
test1,R,L ,1,1,1,2,2,4,1
test2,R,L ,1,2,1,1,4,3,1
test3,R,L ,1,3,1,2,4,3,1
test4,R,L ,1,4,2,2,2,2,1
fn1001,R,L,1,3,1,2,2,4,1
fn1002,L,R,2,2,2,2,4,3,1
fn1003,R,R,1,3,2,1,4,3,1
fn1004,L,L,2,4,1,2,3,3,1
fn1005,L,L,1,2,2,1,3,4,1
fn1006,R,L,2,3,1,2,4,4,1
fn1007,L,L,1,1,2,1,4,1,1
fn1008,L,L,2,1,2,2,4,4,1
fn1009,NA,NA,1,3,2,2,1,4,1
fn1010,NA,NA,1,4,1,1,2,4,1
fn1011,NA,NA,2,2,1,1,4,2,1
fn1012,NA,NA,2,3,1,1,2,2,1
fn1013,NA,NA,2,2,2,2,4,1,1
fn1014,NA,NA,2,4,2,1,2,1,1
fn1015,NA,NA,1,4,1,1,4,1,1
fn1016,NA,NA,1,3,2,2,4,2,1
fn1017,NA,NA,1,2,1,2,3,2,1
fn1018,NA,NA,1,1,1,1,2,3,1
fn1019,NA,NA,2,1,2,1,1,4,1
fn1020,NA,NA,2,3,2,2,2,3,1
fn1021,NA,NA,1,1,2,1,3,2,1
fn1022,NA,NA,1,4,1,2,4,1,1
fn1023,NA,NA,2,1,2,2,1,2,1
fn1024,NA,NA,1,2,2,2,3,3,1
fn1025,NA,NA,2,4,1,2,1,3,1
fn1026,NA,NA,1,3,2,1,2,4,1
fn1027,NA,NA,2,4,2,2,3,2,1
fn1028,NA,NA,1,3,1,2,4,2,1
fn1029,NA,NA,1,1,2,1,4,2,1
fn1030,NA,NA,2,2,2,2,1,3,1
fn1031,NA,NA,2,1,1,2,3,1,1
fn1032,NA,NA,1,4,2,2,1,1,1
fn1033,NA,NA,2,3,1,2,1,1,1
fn1034,NA,NA,1,2,2,2,2,4,1
fn1035,NA,NA,1,3,1,1,1,4,1
fn1036,NA,NA,2,2,1,1,1,2,1
fn1037,NA,NA,2,4,1,2,2,4,1
fn1038,NA,NA,2,3,1,2,1,4,1
fn1039,NA,NA,1,1,2,2,2,2,1
fn1040,NA,NA,1,2,1,2,4,3,1
fn1041,NA,NA,2,1,1,2,3,4,1
fn1042,NA,NA,1,4,2,2,3,4,1
fn1043,NA,NA,1,3,1,2,1,2,1
fn1044,NA,NA,1,4,2,2,3,1,1
fn1045,NA,NA,2,3,2,1,2,3,1
fn1046,NA,NA,1,2,1,1,4,3,1
fn1047,NA,NA,2,4,1,1,1,1,1
fn1048,NA,NA,1,1,2,2,2,1,1
fn1049,NA,NA,2,1,1,1,2,1,1
fn1050,NA,NA,2,2,1,1,3,3,1
fn1051,NA,NA,1,4,1,1,1,3,1
fn1052,NA,NA,2,3,1,1,3,1,1
fn1053,NA,NA,1,3,1,1,3,4,1
fn1054,NA,NA,2,1,2,1,1,2,1
fn1055,NA,NA,2,4,2,1,3,1,1
fn1056,NA,NA,1,1,1,2,2,2,1
fn1057,NA,NA,2,2,2,1,4,4,1
fn1058,NA,NA,1,2,2,1,1,3,1
fn1059,NA,NA,2,2,2,1,4,3,1
fn1060,NA,NA,1,1,1,1,3,2,1
fn1061,NA,NA,2,4,2,1,3,3,1
fn1062,NA,NA,1,2,2,1,2,2,1
fn1063,NA,NA,1,3,1,2,2,1,1
fn1064,NA,NA,1,4,1,1,4,4,1
fn1065,NA,NA,2,1,1,2,2,3,1
fn1066,NA,NA,2,3,2,1,1,1,1
fn1067,NA,NA,1,2,1,2,3,2,1
fn1068,NA,NA,1,3,2,2,3,1,1
fn1069,NA,NA,2,3,1,2,2,2,1
fn1070,NA,NA,1,4,2,2,3,4,1
fn1071,NA,NA,2,4,1,1,4,2,1
fn1072,NA,NA,2,2,1,2,3,3,1
fn1073,NA,NA,2,1,1,1,2,3,1
fn1074,NA,NA,1,1,1,1,4,1,1
fn1075,NA,NA,1,4,1,1,2,1,1
fn1076,NA,NA,1,2,2,2,4,4,1
fn1077,NA,NA,2,2,1,1,3,2,1
fn1078,NA,NA,2,4,1,2,1,2,1
fn1079,NA,NA,2,1,2,2,1,4,1
fn1080,NA,NA,1,1,2,2,1,2,1
fn1081,NA,NA,1,3,2,2,4,2,1
fn1082,NA,NA,2,3,1,2,4,2,1
fn1083,NA,NA,2,1,2,1,1,2,1
fn1084,NA,NA,1,4,1,2,3,1,1
fn1085,NA,NA,2,3,1,1,4,3,1
fn1086,NA,NA,2,2,2,1,1,3,1
fn1087,NA,NA,1,3,1,1,4,4,1
fn1088,NA,NA,1,2,1,2,1,1,1
fn1089,NA,NA,2,4,2,1,4,1,1
fn1090,NA,NA,1,1,1,1,1,1,1
fn1091,NA,NA,1,1,2,1,1,1,1
fn1092,NA,NA,2,4,1,1,3,4,1
fn1093,NA,NA,1,3,1,2,2,1,1
fn1094,NA,NA,1,2,1,2,1,4,1
fn1095,NA,NA,2,3,2,1,3,2,1
fn1096,NA,NA,2,1,2,2,3,2,1
fn1097,NA,NA,1,4,2,1,2,3,1
fn1098,NA,NA,2,2,2,1,3,4,1
fn1099,NA,NA,2,2,1,1,3,3,1
fn1100,NA,NA,1,1,2,2,3,3,1
fn1101,NA,NA,1,3,2,2,1,1,1
fn1102,NA,NA,1,2,2,1,2,1,1
fn1103,NA,NA,2,4,2,2,1,3,1
fn1104,NA,NA,2,1,2,2,2,1,1
fn1105,NA,NA,1,4,2,1,3,3,1
fn1106,NA,NA,2,3,2,2,2,3,1
fn1107,NA,NA,2,4,1,1,1,2,1
fn1108,NA,NA,1,1,1,2,4,3,1
